Player,Year,Tm,Age,MP,TS%,FTr,Offense,Val/Shot,Production,Height,Weight
Len Elmore,1978,IND,25,1327,0.419,0.342,0.37,0.1,"$3,1.6,-0.8
Bruce Seals,1978,SEA,24,1322,0.455,0.318,-0.33,0.2,"($1,-0.1,-0.5
Tom Abernethy,1978,LAL,23,1317,0.544,0.275,2.45,0.3,"$6,3.2,2.7
Kent Benson,1978,MIL,23,1288,0.497,0.298,-0.43,0.2,"$2,0.9,-0.2
John Williamson,1978,NJN,26,1282,0.509,0.269,1.37,0.3,"$2,0.7,2.9
Joe Meriweather,1978,NOJ,24,1277,0.506,0.324,1.39,0.2,"$3,1.6,-0.1
Al Skinner,1978,DET,25,1274,0.531,0.411,-0.37,0.3,$0 ,2,25.63
Lloyd Walton,1978,MIL,24,1264,0.476,0.241,-2.59,0.3,"($2,-1.3,-0.3
Ernie Grunfeld,1978,MIL,22,1261,0.479,0.31,-0.89,0.2,"$700,2.3,2
Joe Bryant,1978,PHI,23,1236,0.492,0.33,-1.41,0.2,"$3,1.2,0.7
Brian Taylor,1978,DEN,26,1222,0.498,0.285,-0.13,0.2,"$2,0.7,0.8
Darnell Hillman,1978,NJN,28,1220,0.499,0.409,0.98,0.3,"$2,0.7,0.3
Howard Porter,1978,NJN,29,1216,0.537,0.25,3.71,0.3,"$2,0.8,2.1
John Kuester,1978,KCK,22,1215,0.516,0.329,-2.03,0.4,"($600,1,1
Bo Ellis,1978,DEN,23,1213,0.462,0.325,-0.18,0.1,"$900,3.3,4
Cedric Maxwell,1978,BOS,22,1213,0.62,0.791,2.49,0.5,"$6,3,1.7
Mike Newlin,1978,HOU,29,1181,0.511,0.352,-1.19,0.4,"$3,1.1,2.1
Lloyd Neal,1978,POR,27,1174,0.543,0.328,0.68,0.3,"$4,2.1,2.2
Toby Knight,1978,NYK,22,1169,0.499,0.209,0.31,0.2,"($1,-0.8,-0.3
Ed Ratleff,1978,HOU,27,1163,0.452,0.152,-0.57,0.2,"$3,1.2,0.4
Tom Boswell,1978,BOS,24,1149,0.563,0.345,1.84,0.4,"$2,1,1.1
Mike Green,1978,SAS,26,1132,0.5,0.26,-0.16,0.1,"$2,0.8,0.4
Larry Steele,1978,POR,28,1132,0.519,0.273,0.86,0.2,"$2,0.9,1.1
Ron Behagen,1978,IND,27,1131,0.46,0.324,-1.43,0.2,"($800,3.2,4
Rickey Green,1978,GSW,23,1098,0.41,0.24,-2.35,0.1,"($1,-0.3,-0.2
Jim Price,1978,DEN,28,1090,0.517,0.225,-1.52,0.3,"$2,0.5,0
Charlie Scott,1978,BOS,29,1080,0.469,0.243,-1.97,0.3,"$1,-0.3,0
Bill Willoughby,1978,BUF,20,1079,0.472,0.22,1.11,0.1,"($500,-0.4,3.2
John Lambert,1978,CLE,25,1075,0.435,0.143,0.89,0.1,"$1,-0.8,0.9
Eddie Jordan,1978,NJN,23,1042,0.466,0.313,-1.03,0.3,"$4,2.1,1
Bob Carrington,1978,NJN,24,1032,0.444,0.247,0.55,0.2,"($400,0,-0.7
Glen Gondrezick,1978,NYK,22,1017,0.44,0.357,-1.36,0.1,"$800,2.9,3
Kevin Stacom,1978,BOS,26,1006,0.452,0.147,-1.23,0.2,"($1,-1.3,-0.3
Wally Walker,1978,SEA,23,1003,0.469,0.267,0.43,0.2,"$400,2.5,3
Mack Calvin,1978,DEN,30,988,0.551,0.619,-1.12,0.4,"($1,-1.5,-0.1
Mike Flynn,1978,IND,24,955,0.476,0.363,-1.21,0.3,"($300,1,1
Adrian Dantley,1978,IND,21,948,0.587,0.653,3.46,0.4,"$8,4.2,4.1
Mike Glenn,1978,BUF,22,947,0.553,0.176,2,0.4,"$700,1,2
Phil Chenier,1978,WSB,27,937,0.497,0.306,0.36,0.3,"$1,0,0.6
Greg Ballard,1978,WSB,23,936,0.484,0.341,0.61,0.2,"$2,0.5,0.1
Mike Bratz,1978,PHO,22,933,0.44,0.172,-2.7,0.2,"($2,1.1,1
Tony Robertson,1978,ATL,22,929,0.461,0.139,-2.26,0.2,"($300,1.4,2
Mark Landsberger,1978,CHI,22,926,0.539,0.625,1.45,0.3,"$700,3.7,4
Curtis Rowe,1978,BOS,28,911,0.5,0.326,0.84,0.2,"($900,-0.4,3.2
Bayard Forrest,1978,PHO,23,887,0.478,0.433,-1.78,0.2,"$2,0.9,-0.4
Larry McNeill,1978,BUF,27,873,0.543,0.462,1.62,0.3,"$1,0.3,1.4
Tom LaGarde,1978,DEN,22,868,0.505,0.633,-0.74,0.2,"($2,3.9,5
Kermit Washington,1978,BOS,26,866,0.582,0.517,3.24,0.4,"$5,2.6,1.6
Kim Hughes,1978,NJN,25,854,0.356,0.181,0.93,0,"$2,-1.6,2.3
Ricky Marsh,1978,GSW,23,851,0.443,0.114,-0.59,0.2,"($1,-0.3,-0.1
Rudy Tomjanovich,1978,HOU,29,849,0.513,0.181,2.09,0.3,"$1,0.2,1.7
Jim Price,1978,DET,28,839,0.478,0.284,-1.71,0.2,"$1,0,0.4
Terry Furlow,1978,CLE,23,827,0.485,0.223,-0.75,0.3,"$400,2,23.29
Curtis Perry,1978,PHO,29,818,0.499,0.267,0.86,0.2,"$2,0.7,-0.3
Nate Williams,1978,GSW,27,815,0.47,0.165,-1.09,0.2,"($1,-1.1,-0.4
Slick Watts,1978,SEA,26,809,0.423,0.195,-3.66,0.2,"$600,-0.3,1
Charles Johnson,1978,WSB,28,807,0.44,0.147,-0.92,0.2,$0 ,2,28.84
Gus Gerard,1978,DET,24,805,0.47,0.262,-0.48,0.1,"$100,2.9,3
Bob Nash,1978,KCK,27,800,0.544,0.227,2.18,0.3,"$2,0.9,1.3
Alonzo Bradley,1978,HOU,24,798,0.459,0.194,-0.12,0.2,"($1,2.1,3
Cazzie Russell,1978,CHI,33,789,0.479,0.188,0.38,0.2,"($100,2.1,3
Slick Watts,1978,NOJ,26,775,0.423,0.36,-3.96,0.2,"$1,0.4,0
T.R. Dunn,1978,POR,22,768,0.448,0.233,0.49,0.1,"$2,1,0.2
Kermit Washington,1978,LAL,26,751,0.492,0.451,0.65,0.2,"$2,0.7,0.6
Harvey Catchings,1978,PHI,26,748,0.43,0.309,0.64,0,"$2,0.9,-0.2
Darnell Hillman,1978,DEN,28,746,0.525,0.388,0.32,0.2,"$1,0.5,0
